RID,Education_Level,Institution_Type,Attack_Date,Sex,Age,Device,IT_Student,Location,Internet_Type,Network_Type,Attack_Found,Url,label
175.100.207.232-10.42.0.211-80-46722-6,University,Private,5/25/2020,Male,23,Mobile,Yes,Town,Mobile Data,4G,0,https://www.bitdefender.com/files/News/CaseStudies/study/332/Bitdefender-Whitepaper-Chafer-creat4491-en-EN-interactive.pdf,0
10.42.0.211-115.239.210.141-58262-443-6,College,Private,9/15/2020,Female,18,Mobile,No,Town,Wifi,4G,0,https://us-cert.cisa.gov/ncas/alerts/aa20-259a,0
10.42.0.211-77.234.44.79-52881-443-6,School,Private,1/21/2020,Male,11,Mobile,No,Town,Mobile Data,3G,1,https://www.nytimes.com/2020/01/22/world/middleeast/bezos-phone-hacked.html,1
10.42.0.151-10.42.0.1-44769-53-17,University,Private,04-02-20,Female,23,Mobile,Yes,Town,Wifi,3G,0,https://www.reuters.com/article/us-health-coronavirus-cyber-iran-exclusi/exclusive-hackers-linked-to-iran-target-who-staff-emails-during-coronavirus-sources-idUSKBN21K1RC,0
206.108.0.131-10.42.0.211-123-51817-17,College,Public,7/28/2020,Female,23,Mobile,Yes,Town,Mobile Data,4G,1,https://www.recordedfuture.com/reddelta-targets-catholic-organizations/,1
172.217.10.142-10.42.0.151-443-48214-6,School,Private,03-12-20,Female,10,Mobile,No,Town,Mobile Data,3G,0,https://www.welivesecurity.com/2020/03/12/tracking-turla-new-backdoor-armenian-watering-holes/,0
157.240.0.17-10.42.0.211-443-47115-6,University,Public,5/14/2020,Female,27,Mobile,No,Rural,Mobile Data,4G,1,https://decoded.avast.io/luigicamastra/apt-group-planted-backdoors-targeting-high-profile-networks-in-central-asia/,1
182.22.120.231-10.42.0.151-443-35655-6,School,Public,8/26/2020,Female,11,Mobile,No,Town,Wifi,3G,0,https://us-cert.cisa.gov/ncas/alerts/aa20-239a,0
182.22.24.124-10.42.0.211-443-41764-6,University,Private,03-12-20,Male,23,Computer,No,Town,Wifi,4G,1,https://research.checkpoint.com/2020/vicious-panda-the-covid-campaign/,1
172.217.6.200-10.42.0.211-443-41694-6,University,Private,5/26/2020,Female,23,Mobile,Yes,Town,Wifi,4G,1,https://www.cyberscoop.com/german-intelligence-memo-berserk-bear-critical-infrastructure/,1
10.42.0.211-69.147.82.61-41649-443-6,School,Private,9/22/2020,Female,18,Mobile,No,Town,Mobile Data,3G,0,https://www.secrss.com/articles/24798,0
10.42.0.211-23.206.166.62-41407-80-6,School,Private,1/27/2020,Male,11,Mobile,No,Town,Mobile Data,4G,1,https://www.reuters.com/article/us-cyber-attack-hijack-exclusive/exclusive-hackers-acting-in-turkeys-interests-believed-to-be-behind-recent-cyberattacks-sources-idUSKBN1ZQ10X,1
10.42.0.211-106.11.30.199-36364-443-6,University,Private,4/22/2020,Male,23,Computer,Yes,Town,Wifi,3G,0,https://www.fireeye.com/blog/threat-research/2020/04/apt32-targeting-chinese-government-in-covid-19-related-espionage.html,0
172.217.10.106-10.42.0.211-443-59705-6,University,Private,7/29/2020,Male,23,Computer,Yes,Town,Wifi,4G,0,https://www.fireeye.com/blog/threat-research/2020/07/ghostwriter-influence-campaign.html,0
10.42.0.211-10.42.0.1-46221-53-17,School,Private,3/16/2020,Female,9,Mobile,No,Town,Mobile Data,4G,1,https://malpedia.caad.fkie.fraunhofer.de/actor/operation_c-major,1
10.42.0.211-23.208.168.108-51833-443-6,School,Private,5/19/2020,Female,11,Mobile,No,Town,Mobile Data,3G,1,https://www.timesofisrael.com/cyberattack-on-port-suggests-israeli-tit-for-tat-strategy-shows-iran-vulnerable/,1
203.205.158.62-10.42.0.151-80-53994-6,School,Private,8/19/2020,Male,11,Mobile,No,Town,Mobile Data,4G,0,https://us-cert.cisa.gov/ncas/analysis-reports/ar20-232a,0
180.149.153.234-10.42.0.211-80-53928-6,University,Private,3/13/2020,Male,23,Computer,Yes,Town,Wifi,3G,1,https://www.zdnet.com/article/state-sponsored-hackers-are-now-using-coronavirus-lures-to-infect-their-targets/,1
205.204.101.182-10.42.0.211-443-49824-6,College,Public,5/28/2020,Male,18,Mobile,No,Town,Wifi,4G,0,https://www.nsa.gov/News-Features/News-Stories/Article-View/Article/2196511/exim-mail-transfer-agent-actively-exploited-by-russian-gru-cyber-actors/,0
192.229.173.173-10.42.0.42-443-33619-6,School,Private,9/24/2020,Female,11,Mobile,No,Town,Mobile Data,4G,1,https://us-cert.cisa.gov/ncas/analysis-reports/ar20-268a,1
10.42.0.151-64.71.142.96-58074-80-6,University,Private,1/30/2020,Male,23,Mobile,Yes,Town,Mobile Data,3G,0,https://intezer.com/blog/apt/new-iranian-campaign-tailored-to-us-companies-uses-updated-toolset/,0
10.42.0.211-104.193.88.109-37740-80-6,University,Public,05-07-20,Male,27,Mobile,Yes,Rural,Mobile Data,4G,1,https://research.checkpoint.com/2020/naikon-apt-cyber-espionage-reloaded/,1
172.217.11.2-10.42.0.211-443-34919-6,School,Private,7/29/2020,Male,9,Mobile,No,Town,Mobile Data,4G,0,https://www.fireeye.com/blog/threat-research/2020/07/ghostwriter-influence-campaign.html,0
174.35.73.108-10.42.0.42-443-43146-6,School,Private,3/16/2020,Female,9,Mobile,No,Town,Mobile Data,4G,0,https://twitter.com/RedDrip7/status/1237983760802394112,0
10.42.0.211-23.205.20.233-43570-80-6,University,Public,05-05-20,Male,23,Mobile,No,Town,Mobile Data,4G,0,https://www.cyberscoop.com/cpc-corp-ransomware-attack-taiwan-trend-micro/,0
172.217.11.46-10.42.0.151-443-48949-6,University,Private,8/28/2020,Female,18,Mobile,Yes,Town,Mobile Data,3G,0,https://undocs.org/S/2020/840,0
10.42.0.211-77.234.42.92-51512-443-6,School,Private,02-06-20,Female,11,Mobile,No,Rural,Mobile Data,3G,0,https://www.bleepingcomputer.com/news/security/japanese-defense-contractors-kobe-steel-pasco-disclose-breaches/,0
10.42.0.151-52.84.142.16-47647-443-6,School,Public,6/19/2020,Male,18,Mobile,No,Rural,Mobile Data,3G,1,https://www.cyberscoop.com/australia-cyber-attack-china-trade-scott-morrison/,1
172.217.10.237-10.42.0.42-443-59294-6,University,Private,1/31/2020,Male,23,Mobile,No,Town,Wifi,4G,1,https://www.welivesecurity.com/2020/01/31/winnti-group-targeting-universities-hong-kong/,1
10.42.0.1-10.42.0.42-53-43407-17,College,Public,05-07-20,Male,23,Mobile,No,Rural,Mobile Data,4G,0,https://www.washingtonpost.com/national-security/intelligence-officials-say-attempted-cyberattack-on-israeli-water-utilities-linked-to-iran/2020/05/08/f9ab0d78-9157-11ea-9e23-6914ee410a5f_story.html,0
10.42.0.151-54.192.38.7-43593-443-6,College,Private,08-08-20,Female,18,Mobile,No,Town,Mobile Data,3G,0,https://us-cert.cisa.gov/ncas/current-activity/2020/08/03/chinese-malicious-cyber-activity,0
172.217.12.131-10.42.0.151-443-34781-6,School,Private,3/20/2020,Male,11,Mobile,Yes,Town,Mobile Data,4G,0,https://www.zdnet.com/article/apt28-has-been-scanning-and-exploiting-vulnerable-email-servers-for-more-than-a-year/,0
172.217.10.234-10.42.0.42-443-40909-6,School,Private,09-10-20,Male,11,Mobile,No,Town,Wifi,4G,1,https://blogs.microsoft.com/on-the-issues/2020/09/10/cyberattacks-us-elections-trump-biden/,1
174.36.210.41-10.42.0.211-5222-55916-6,University,Public,01-08-20,Male,27,Mobile,No,Rural,Mobile Data,4G,1,https://securelist.com/operation-applejeus-sequel/95596/,1
202.77.129.150-10.42.0.211-443-48302-6,School,Private,06-11-20,Male,11,Mobile,No,Town,Mobile Data,3G,1,https://www.welivesecurity.com/2020/06/11/gamaredon-group-grows-its-game/,1
151.101.1.140-10.42.0.151-443-56909-6,School,Public,1/30/2020,Female,10,Mobile,No,Rural,Mobile Data,3G,1,https://blog.certfa.com/posts/fake-interview-the-new-activity-of-charming-kitten/,1
10.42.0.211-58.63.236.212-46649-443-6,School,Public,4/30/2020,Female,11,Mobile,No,Town,Wifi,4G,1,https://www.cyberscoop.com/south-china-sea-maritime-hacking-vietnam/,1
203.205.158.60-10.42.0.151-80-40687-6,School,Private,08-03-20,Male,11,Mobile,Yes,Town,Mobile Data,4G,0,https://www.reuters.com/article/us-britain-russia-hack-exclusive/exclusive-papers-leaked-before-uk-election-in-suspected-russian-operation-were-hacked-from-ex-trade-minister-sources-idUSKCN24Z1V4,0
10.42.0.211-95.213.11.133-33460-443-6,College,Public,3/23/2020,Male,23,Mobile,No,Rural,Mobile Data,3G,1,https://www.reuters.com/article/us-health-coronavirus-who-hack-exclusive/exclusive-elite-hackers-target-who-as-coronavirus-cyberattacks-spike-idUSKBN21A3BN,1
10.42.0.211-106.11.92.16-55173-443-6,College,Public,5/19/2020,Female,18,Mobile,No,Rural,Mobile Data,4G,0,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/greenbug-espionage-telco-south-asia,0
172.217.3.98-10.42.0.211-443-34371-6,University,Public,09-10-20,Male,23,Mobile,No,Town,Mobile Data,4G,0,https://blogs.microsoft.com/on-the-issues/2020/09/10/cyberattacks-us-elections-trump-biden/,0
10.42.0.211-106.39.162.36-55111-80-6,School,Private,3/24/2020,Female,11,Mobile,No,Town,Mobile Data,3G,0,https://securelist.com/ios-exploit-chain-deploys-lightspy-malware/96407/,0
8.8.8.8-10.42.0.211-53-32368-17,School,Private,02-07-20,Male,11,Mobile,Yes,Town,Mobile Data,4G,1,https://www.mycert.org.my/portal/advisory?id=MA-770.022020,1
10.42.0.211-10.42.0.1-23550-53-17,School,Private,4/30/2020,Female,10,Mobile,No,Town,Mobile Data,2G,0,https://www.anomali.com/blog/anomali-suspects-that-china-backed-apt-pirate-panda-may-be-seeking-access-to-vietnam-government-data-center,0
10.42.0.211-10.42.0.1-30749-53-17,College,Private,09-03-20,Female,18,Mobile,No,Town,Mobile Data,3G,1,https://www.vice.com/en/article/7kpdpe/nso-spyware-was-used-to-hack-clergy-in-togo,1
169.47.42.102-10.42.0.211-443-57250-6,College,Public,3/25/2020,Female,23,Mobile,No,Rural,Mobile Data,4G,0,https://www.fireeye.com/blog/threat-research/2020/03/apt41-initiates-global-intrusion-campaign-using-multiple-exploits.html,0
202.77.129.150-10.42.0.211-80-34481-6,School,Private,5/21/2020,Female,11,Mobile,No,Town,Mobile Data,4G,1,https://www.infosecurity-magazine.com/news/winnti-video-game-developers/,1
10.42.0.211-10.42.0.1-7017-53-17,School,Private,09-10-20,Male,11,Mobile,No,Town,Mobile Data,4G,0,https://blogs.microsoft.com/on-the-issues/2020/09/10/cyberattacks-us-elections-trump-biden/,0
10.42.0.211-101.251.100.59-57972-9930-6,School,Private,1/23/2020,Male,11,Mobile,No,Town,Mobile Data,3G,1,https://blog.talosintelligence.com/2017/05/konni-malware-under-radar-for-years.html,1
172.217.9.227-10.42.0.211-80-59919-6,School,Private,08-11-20,Female,11,Mobile,No,Town,Mobile Data,4G,1,https://www.wired.com/story/cyber-command-ira-strike-sends-signal/,1
140.205.140.87-10.42.0.211-80-60932-6,University,Private,02-05-20,Male,23,Computer,Yes,Town,Wifi,4G,0,https://threatpost.com/gamaredon-apt-toolset-ukraine/152568/,0
172.217.12.131-10.42.0.42-443-40747-6,School,Public,4/28/2020,Female,11,Mobile,No,Rural,Mobile Data,3G,1,https://www.cyberscoop.com/vietnamese-hackers-google-play-kaspersky-apt32/,1
10.42.0.151-31.13.71.52-55031-80-6,School,Private,2/16/2020,Female,9,Mobile,No,Town,Mobile Data,4G,0,https://www.clearskysec.com/fox-kitten/,0
10.42.0.211-10.42.0.1-31723-53-17,School,Private,3/26/2020,Male,11,Mobile,No,Town,Mobile Data,3G,0,https://www.wired.com/story/north-korea-hacking-zero-days-google/,0
172.217.3.99-10.42.0.211-443-51370-6,School,Private,5/26/2020,Male,11,Mobile,No,Town,Mobile Data,4G,1,https://www.welivesecurity.com/2020/05/26/agentbtz-comratv4-ten-year-journey/,1
172.217.10.68-10.42.0.151-443-36254-6,University,Private,09-10-20,Female,23,Mobile,Yes,Town,Wifi,4G,1,https://blogs.microsoft.com/on-the-issues/2020/09/10/cyberattacks-us-elections-trump-biden/,1
10.42.0.211-95.154.220.116-34342-80-6,School,Private,11-12-21,Male,11,Mobile,No,Town,Wifi,4G,0,https://dragos.com/blog/industry-news/assessment-of-reported-malware-infection-at-nuclear-facility/,0
10.42.0.211-77.234.44.200-51293-80-6,University,Public,1/18/2021,Male,27,Mobile,No,Rural,Mobile Data,4G,1,https://www.wsj.com/articles/dnc-says-russia-tried-to-hack-into-its-computer-network-days-after-2018-midterms-11547831410,1
172.217.10.3-10.42.0.42-443-40122-6,University,Private,09-11-21,Male,23,Mobile,No,Rural,Mobile Data,4G,0,https://www.secureworks.com/blog/cobalt-dickens-goes-back-to-school-again,0
10.42.0.211-123.125.29.220-55261-80-6,University,Private,12-04-21,Male,23,Computer,Yes,Town,Wifi,4G,1,https://www.zdnet.com/article/china-resurrects-great-cannon-for-ddos-attacks-on-hong-kong-forum/,1
202.77.129.230-10.42.0.42-80-36706-6,University,Private,04-04-21,Male,23,Computer,Yes,Town,Wifi,3G,0,https://www.cyberscoop.com/bayer-breached-china-wicked-panda/,0
172.217.10.234-10.42.0.151-443-60520-6,University,Private,9/24/2021,Male,23,Mobile,Yes,Town,Mobile Data,3G,1,https://www.cyberscoop.com/tibet-citizen-lab-spyware-espionage/,1
10.42.0.1-10.42.0.42-53-44491-17,School,Private,10/21/2021,Female,9,Mobile,No,Town,Mobile Data,4G,0,https://www.ft.com/content/b947b46a-f342-11e9-a79c-bc9acae3b654,0
10.42.0.211-31.13.71.1-47432-443-6,University,Private,7/24/2021,Female,18,Computer,Yes,Town,Wifi,4G,0,https://www.reuters.com/article/us-germany-cyber/basf-siemens-henkel-roche-target-of-cyber-attacks-idUSKCN1UJ147,0
10.42.0.42-61.135.185.139-58136-80-6,School,Private,12/29/2021,Male,11,Mobile,No,Town,Mobile Data,4G,0,https://www.secureworks.com/research/bronze-president-targets-ngos,0
10.42.0.151-31.13.71.3-60663-443-6,School,Public,1/30/2021,Female,11,Mobile,No,Rural,Mobile Data,2G,0,https://www.reuters.com/article/us-usa-spying-karma-exclusive/exclusive-uae-used-cyber-super-weapon-to-spy-on-iphones-of-foes-idUSKCN1PO1AN,0
8.0.6.4-8.6.0.1-0-0-0,University,Private,2/22/2021,Male,23,Mobile,Yes,Town,Wifi,4G,0,https://unit42.paloaltonetworks.com/new-babyshark-malware-targets-u-s-national-security-think-tanks/,0
172.217.3.98-10.42.0.211-443-51317-6,College,Public,12/19/2021,Male,18,Mobile,No,Town,Wifi,4G,1,https://resources.fox-it.com/rs/170-CAK-271/images/201912_Report_Operation_Wocao.pdf,1
205.204.101.182-10.42.0.42-443-36814-6,School,Private,6/25/2021,Male,11,Mobile,No,Town,Wifi,4G,1,https://www.cybereason.com/blog/operation-soft-cell-a-worldwide-campaign-against-telecommunications-providers,1
198.11.189.2-10.42.0.151-443-41805-6,School,Private,9/24/2021,Female,11,Computer,No,Town,Wifi,4G,0,https://www.volexity.com/blog/2019/09/02/digital-crackdown-large-scale-surveillance-and-exploitation-of-uyghurs/,0
203.205.158.66-10.42.0.211-443-53485-6,College,Private,10/21/2021,Female,18,Mobile,No,Rural,Mobile Data,3G,0,https://www.reuters.com/article/us-avast-cyber/avast-target-of-cyber-security-attack-company-and-czech-counterintelligence-say-idUSKBN1X01KS,0
10.42.0.211-23.208.168.108-49615-443-6,School,Private,7/26/2021,Male,11,Mobile,Yes,Town,Mobile Data,4G,0,https://www.ft.com/content/876fb2d8-af92-11e9-8030-530adfa879c2,0
172.217.10.78-10.42.0.151-443-36652-6,School,Private,11/23/2021,Female,9,Mobile,No,Town,Wifi,4G,1,https://www.zdnet.com/article/extensive-hacking-operation-discovered-in-kazakhstan/,1
10.42.0.211-106.39.162.36-53896-80-6,School,Public,1/31/2021,Male,11,Computer,No,Town,Wifi,4G,1,https://www.cnn.com/2019/01/30/politics/fancy-bear-microsoft-csis-think-tank/index.html,1
239.255.255.250-10.42.0.1-1900-56205-17,School,Private,8/22/2021,Female,11,Mobile,No,Town,Mobile Data,3G,1,https://www.cyberscoop.com/north-korean-hacking-espionage-phishing/,1
10.42.0.211-66.198.24.224-59002-80-6,School,Private,12/22/2021,Female,11,Computer,No,Town,Wifi,4G,1,https://www.nytimes.com/2019/12/22/us/politics/totok-app-uae.html,1
206.126.112.142-10.42.0.151-443-51027-6,University,Private,6/22/2021,Male,23,Tab,No,Town,Wifi,4G,1,https://www.nytimes.com/2019/06/22/us/politics/us-iran-cyber-attacks.html,1
180.149.138.197-10.42.0.211-80-48624-6,University,Private,8/31/2021,Female,23,Mobile,No,Town,Wifi,3G,0,https://www.reuters.com/article/us-czech-security-cyber/foreign-power-was-behind-cyber-attack-on-czech-ministry-senate-idUSKCN1V31DS?il=0,0
172.217.7.163-10.42.0.151-443-49709-6,School,Public,10/28/2021,Male,10,Mobile,No,Town,Mobile Data,4G,1,https://www.nytimes.com/2020/02/20/world/europe/georgia-cyberattack-russia.html,1
10.42.0.151-104.244.43.195-58057-443-6,College,Private,08-01-21,Female,18,Mobile,No,Town,Wifi,4G,0,https://www.proofpoint.com/us/threat-insight/post/lookback-malware-targets-united-states-utilities-sector-phishing-attacks,0
10.42.0.211-10.42.0.1-48313-53-17,School,Public,11/23/2021,Male,11,Mobile,No,Rural,Mobile Data,3G,0,https://www.zdnet.com/article/extensive-hacking-operation-discovered-in-kazakhstan/,0
10.42.0.211-77.234.44.40-46926-80-6,University,Private,02-06-21,Male,23,Mobile,Yes,Town,Mobile Data,3G,0,https://www.recordedfuture.com/apt10-cyberespionage-campaign/,0
10.42.0.42-52.84.29.55-46491-443-6,College,Private,09-11-21,Female,18,Mobile,No,Town,Wifi,4G,1,https://blog.prevailion.com/2019/09/autumn-aperture-report.html,1
172.217.9.238-10.42.0.42-443-33455-6,University,Private,11/23/2021,Male,23,Computer,No,Town,Wifi,4G,0,https://arstechnica.com/information-technology/2019/11/a-notorious-iranian-hacking-crew-is-targeting-industrial-control-systems/,0
10.42.0.151-10.42.0.1-33832-53-17,University,Public,6/27/2021,Male,27,Computer,Yes,Town,Wifi,4G,1,https://www.reuters.com/article/us-usa-cyber-yandex-exclusive/exclusive-western-intelligence-hacked-russias-google-yandex-to-spy-on-accounts-sources-idUSKCN1TS2SX,1
10.42.0.211-10.42.0.1-25397-53-17,University,Private,09-05-21,Male,23,Computer,Yes,Town,Wifi,4G,0,https://www.reuters.com/article/us-china-cyber-uighurs/china-hacked-asian-telcos-to-spy-on-uighur-travelers-sources-idUSKCN1VQ1A5,0
10.42.0.42-123.125.115.164-53516-443-6,College,Public,10-02-21,Male,18,Mobile,No,Rural,Mobile Data,3G,1,https://threatpost.com/virus-bulletin-japanese-attacks-apt-strategygy/148859/,1
10.42.0.211-106.11.176.1-47894-443-6,University,Private,08-05-21,Female,23,Mobile,Yes,Rural,Mobile Data,3G,0,https://www.forbes.com/sites/zakdoffman/2019/08/05/microsoft-warns-russian-hackers-can-breach-companies-through-millions-of-simple-iot-devices/#51543552617f,0
172.217.7.196-10.42.0.151-443-42712-6,College,Private,11/25/2021,Female,18,Computer,No,Town,Wifi,4G,1,cardpromocion2012.com.br/vaidevisa/asp/conta/participe/autentica/autentica.php,1
172.217.10.74-10.42.0.42-443-47380-6,School,Private,2/27/2021,Female,18,Mobile,No,Town,Wifi,4G,1,https://www.washingtonpost.com/world/national-security/us-cyber-command-operation-disrupted-internet-access-of-russian-troll-factory-on-day-of-2018-midterms/2019/02/26/1827fc9e-36d6-11e9-af5b-b51b7ff322e9_story.html?utm_term=.9be95dc8f486,1
172.217.10.35-10.42.0.211-443-46472-6,School,Private,12-04-21,Male,11,Mobile,No,Town,Mobile Data,4G,0,https://www.ibm.com/downloads/cas/OAJ4VZNJ,0
10.42.0.42-36.248.26.201-42248-80-6,School,Private,6/22/2021,Male,11,Mobile,No,Town,Mobile Data,3G,1,https://www.bloomberg.com/news/articles/2019-06-22/iran-increases-cyberattacks-on-the-u-s-amid-tensions-dhs-says,1
8.0.6.4-8.6.0.1-0-0-0,University,Private,12-07-21,Female,18,Computer,Yes,Town,Wifi,4G,0,https://www.cyberscoop.com/rancor-group-cambodia-palo-alto-networks/,0
217.69.133.145-10.42.0.151-443-57440-6,School,Private,10-03-21,Female,11,Mobile,No,Town,Mobile Data,3G,0,https://unit42.paloaltonetworks.com/pkplug_chinese_cyber_espionage_group_attacking_asia/,0
172.217.3.99-10.42.0.151-443-51157-17,University,Public,08-07-21,Female,23,Mobile,No,Town,Mobile Data,4G,1,https://content.fireeye.com/apt-41/rpt-apt41/,1
